table,fieldName,description,dataType,units,downloadPkg,pubFormat,primaryKey,categoricalCodeName
"vst_apparentindividual","uid","Unique ID within NEON database; an identifier for the record","string",NA,"basic","asIs","N",NA
"vst_apparentindividual","namedLocation","Name of the measurement location in the NEON database","string",NA,"basic","asIs","N",NA
"vst_apparentindividual","date","Date or date and time of measurement, observation, or collection event","dateTime",NA,"basic","yyyy-MM-dd(floor)","N",NA
"vst_apparentindividual","eventID","An identifier for the set of information associated with the event, which includes information about the place and time of the event","string",NA,"basic","asIs","Y",NA
"vst_apparentindividual","domainID","Unique identifier of the NEON domain","string",NA,"basic","asIs","N",NA
"vst_apparentindividual","siteID","NEON site code","string",NA,"basic","asIs","N",NA
"vst_apparentindividual","plotID","Plot identifier (NEON site code_XXX)","string",NA,"basic","asIs","N",NA
"vst_apparentindividual","subplotID","Identifier for the NEON subplot","string",NA,"basic","LOV","N","vst.subplot"
"vst_apparentindividual","individualID","Domain-level unique identifier for an individual: NEON.MOD.D##.######","string",NA,"basic","asIs","Y",NA
"vst_apparentindividual","tempStemID","Stem-level identifier for a multi-stemmed individual with growth form of shrub, small shrub, sapling or small tree","string",NA,"basic","asIs","Y",NA
"vst_apparentindividual","tagStatus","Description of state or condition of the physical tag","string",NA,"basic","LOV","N","vst.tagStatus"
"vst_apparentindividual","growthForm","The growth form classification","string",NA,"basic","LOV","N","vst.growthForm"
"vst_apparentindividual","measurementStrategy","Identifier for the selected method of measuring an individual","string",NA,"basic","asIs","N",NA
"vst_apparentindividual","plantStatus","Physical status of the plant or plants","string",NA,"basic","LOV","N","vst.plantStatus"
"vst_apparentindividual","stemDiameter","Cross-sectional stem diameter","real","centimeter","basic","*.#(round)","N",NA
"vst_apparentindividual","measurementHeight","Height at which stemDiameter is measured","real","centimeter","basic","integer","N",NA
"vst_apparentindividual","changedMeasurementLocation","Indicator for whether the measurement location on the individual changed from previous measurements","string",NA,"basic","LOV","N","vst.changedMeasurementLocation"
"vst_apparentindividual","height","Highest point of an individual or average height of a patch","real","meter","basic","*.#(round)","N",NA
"vst_apparentindividual","heightQualifier","Data quality flag for height measurements","string",NA,"basic","LOV","N","vst.heightQualifier"
"vst_apparentindividual","baseCrownHeight","Height above the ground for the lowest portion of the crown","real","meter","basic","*.#(round)","N",NA
"vst_apparentindividual","breakHeight","Height from the ground to the highest point along a broken bole","real","meter","basic","*.#(round)","N",NA
"vst_apparentindividual","breakDiameter","Cross-sectional diameter at the break point along a broken bole","real","centimeter","basic","*.#(round)","N",NA
"vst_apparentindividual","maxCrownDiameter","Maximum crown diameter of the individual or patch","real","meter","basic","*.#(round)","N",NA
"vst_apparentindividual","ninetyCrownDiameter","Crown diameter perpendicular to maxDiameter","real","meter","basic","*.#(round)","N",NA
"vst_apparentindividual","canopyPosition","Vertical status of an individual relative to its neighbors","string",NA,"basic","LOV","N","vst.canopyPosition"
"vst_apparentindividual","shape","Description of three dimensional form","string",NA,"basic","LOV","N","vst.shape"
"vst_apparentindividual","basalStemDiameter","Cross-sectional stem diameter at base of stem","real","centimeter","basic","*.#(round)","N",NA
"vst_apparentindividual","basalStemDiameterMsrmntHeight","Height at which basalStemDiameter is measured","real","centimeter","basic","integer","N",NA
"vst_apparentindividual","maxBaseCrownDiameter","Maximum crown diameter, measured at ground level","real","meter","basic","*.##(round)","N",NA
"vst_apparentindividual","ninetyBaseCrownDiameter","Crown diameter perpendicular to maxBaseCrownDiameter, measured at ground level","real","meter","basic","*.##(round)","N",NA
"vst_apparentindividual","dendrometerInstallationDate","The date the dendrometer band was installed on the individual","dateTime",NA,"basic","yyyy-MM-dd(floor)","N",NA
"vst_apparentindividual","initialGapMeasurementDate","The date the dendrometer gap is first measured after installation","dateTime",NA,"basic","yyyy-MM-dd(floor)","N",NA
"vst_apparentindividual","initialBandStemDiameter","Cross sectional diameter at the time dendrometer band is installed","real","centimeter","basic","*.#(round)","N",NA
"vst_apparentindividual","initialDendrometerGap","Initial width of the measurement window","real","millimeter","basic","*.##(round)","N",NA
"vst_apparentindividual","dendrometerHeight","Distance along stem at which dendrometer band is installed","real","centimeter","basic","integer","N",NA
"vst_apparentindividual","dendrometerGap","Width of dendrometer measurement window","real","millimeter","basic","*.##(round)","N",NA
"vst_apparentindividual","dendrometerCondition","Condition of the dendrometer band","string",NA,"basic","LOV","N","vst.bandCondition"
"vst_apparentindividual","bandStemDiameter","Calculated current year diameter at band location","real","centimeter","basic","*.##(round)","N",NA
"vst_apparentindividual","remarks","Technician notes; free text comments accompanying the record","string",NA,"basic","asIs","N",NA
"vst_apparentindividual","recordedBy","An identifier for the technician who recorded the data","string",NA,"basic","asIs","N",NA
"vst_apparentindividual","measuredBy","An identifier for the technician who measured or collected the data","string",NA,"basic","asIs","N",NA
"vst_apparentindividual","dataEntryRecordID","Primary identifier for the record at the point of entry","string",NA,"basic","asIs","N",NA
"vst_apparentindividual","dataQF","Data quality flag","string",NA,"basic","asIs","N",NA
"vst_apparentindividual","publicationDate","Date of data publication on the NEON data portal","dateTime",NA,"appended by stackByTable",NA,"N",""
"vst_apparentindividual","release","Identifier for data release","string",NA,"appended by stackByTable",NA,"N",""
"vst_identificationHistory","uid","Unique ID within NEON database; an identifier for the record","string",NA,"basic","asIs","N",NA
"vst_identificationHistory","identificationTable","The table(s) containing the record to which this identification history applies","string",NA,"basic","asIs","N",NA
"vst_identificationHistory","domainID","Unique identifier of the NEON domain","string",NA,"basic","asIs","N",NA
"vst_identificationHistory","siteID","NEON site code","string",NA,"basic","asIs","N",NA
"vst_identificationHistory","plotID","Plot identifier (NEON site code_XXX)","string",NA,"basic","asIs","N",NA
"vst_identificationHistory","namedLocation","Name of the measurement location in the NEON database","string",NA,"basic","asIs","N",NA
"vst_identificationHistory","identificationHistoryID","Identifier for linking records related to this identification history","string",NA,"basic","asIs","Y",NA
"vst_identificationHistory","identifiedDate","Date on which the sample, individual, or specimen was identified","dateTime",NA,"basic","yyyy-MM-dd(floor)","Y",NA
"vst_identificationHistory","endDate","The end date-time or interval during which an event occurred","dateTime",NA,"basic","yyyy-MM-dd(floor)","N",NA
"vst_identificationHistory","taxonID","Species code, based on one or more sources","string",NA,"basic","asIs","N",NA
"vst_identificationHistory","acceptedTaxonID","Accepted species code, based on one or more sources","string",NA,"basic","asIs","N",NA
"vst_identificationHistory","scientificName","Scientific name, associated with the taxonID. This is the name of the lowest level taxonomic rank that can be determined","string",NA,"basic","asIs","N",NA
"vst_identificationHistory","identificationQualifier","A standard term to express the determiner's doubts about the Identification","string",NA,"basic","LOV","N","Identification Qualifiers"
"vst_identificationHistory","identificationReferences","A list of sources (concatenated and semicolon separated) used to derive the specific taxon concept; including field guide editions, books, or versions of NEON keys used","string",NA,"basic","asIs","N",NA
"vst_identificationHistory","identificationRemarks","Comments or notes about the identification","string",NA,"basic","LOV","N","identificationRemarks"
"vst_identificationHistory","remarks","Technician notes; free text comments accompanying the record","string",NA,"basic","asIs","N",NA
"vst_identificationHistory","identifiedBy","An identifier for the technician who identified the specimen","string",NA,"basic","asIs","N",NA
"vst_identificationHistory","dataQF","Data quality flag","string",NA,"basic","asIs","N",NA
"vst_identificationHistory","publicationDate","Date of data publication on the NEON data portal","dateTime",NA,"appended by stackByTable",NA,"N",""
"vst_identificationHistory","release","Identifier for data release","string",NA,"appended by stackByTable",NA,"N",""
"vst_mappingandtagging","uid","Unique ID within NEON database; an identifier for the record","string",NA,"basic","asIs","N",NA
"vst_mappingandtagging","namedLocation","Name of the measurement location in the NEON database","string",NA,"basic","asIs","N",NA
"vst_mappingandtagging","date","Date or date and time of measurement, observation, or collection event","dateTime",NA,"basic","yyyy-MM-dd(floor)","N",NA
"vst_mappingandtagging","domainID","Unique identifier of the NEON domain","string",NA,"basic","asIs","N",NA
"vst_mappingandtagging","siteID","NEON site code","string",NA,"basic","asIs","N",NA
"vst_mappingandtagging","plotID","Plot identifier (NEON site code_XXX)","string",NA,"basic","asIs","N",NA
"vst_mappingandtagging","pointID","Identifier for a point location","string",NA,"basic","asIs","N",NA
"vst_mappingandtagging","stemDistance","Horizontal distance from stem to pointID location","real","meter","basic","*.#(round)","N",NA
"vst_mappingandtagging","stemAzimuth","Azimuth relative to True North between stem and pointID location","real","degree","basic","*.#(round)","N",NA
"vst_mappingandtagging","recordType","Categorical indicator for type of data record","string",NA,"basic","LOV","N","vst.recordType"
"vst_mappingandtagging","individualID","Domain-level unique identifier for an individual: NEON.MOD.D##.######","string",NA,"basic","asIs","Y",NA
"vst_mappingandtagging","supportingStemIndividualID","Globally unique identifier for stem on which a liana is growing","string",NA,"basic","asIs","N",NA
"vst_mappingandtagging","previouslyTaggedAs","Indicates the tagID previously reported for a given individual","string",NA,"basic","asIs","N",NA
"vst_mappingandtagging","otherTagID","Tag ID assigned to the individual by a research organization other than NEON","string",NA,"basic","asIs","N",NA
"vst_mappingandtagging","otherTagOrg","Research organization that applied otherTagID","string",NA,"basic","asIs","N",NA
"vst_mappingandtagging","samplingProtocolVersion","The NEON document number and version where detailed information regarding the sampling method used is available; format NEON.DOC.######vX","string",NA,"basic","LOV","N","vst.samplingProtocolVersion"
"vst_mappingandtagging","identificationHistoryID","Identifier for linking records related to this identification history","string",NA,"basic","asIs","N",NA
"vst_mappingandtagging","taxonID","Species code, based on one or more sources","string",NA,"basic","asIs","N",NA
"vst_mappingandtagging","scientificName","Scientific name, associated with the taxonID. This is the name of the lowest level taxonomic rank that can be determined","string",NA,"basic","asIs","N",NA
"vst_mappingandtagging","genus","The scientific name of the genus in which the organism is classified","string",NA,"basic","asIs","N",NA
"vst_mappingandtagging","family","The scientific name of the family in which the taxon is classified","string",NA,"basic","asIs","N",NA
"vst_mappingandtagging","taxonRank","The lowest level taxonomic rank that can be determined for the individual or specimen","string",NA,"basic","asIs","N",NA
"vst_mappingandtagging","identificationReferences","A list of sources (concatenated and semicolon separated) used to derive the specific taxon concept; including field guide editions, books, or versions of NEON keys used","string",NA,"basic","asIs","N",NA
"vst_mappingandtagging","morphospeciesID","Identifier for morphospecies","string",NA,"basic","asIs","N",NA
"vst_mappingandtagging","morphospeciesIDRemarks","Technician notes about the morphospecies; free text comments accompanying the record","string",NA,"basic","asIs","N",NA
"vst_mappingandtagging","identificationQualifier","A standard term to express the determiner's doubts about the Identification","string",NA,"basic","LOV","N","Identification Qualifiers"
"vst_mappingandtagging","remarks","Technician notes; free text comments accompanying the record","string",NA,"basic","asIs","N",NA
"vst_mappingandtagging","measuredBy","An identifier for the technician who measured or collected the data","string",NA,"basic","asIs","N",NA
"vst_mappingandtagging","recordedBy","An identifier for the technician who recorded the data","string",NA,"basic","asIs","N",NA
"vst_mappingandtagging","dataQF","Data quality flag","string",NA,"basic","asIs","N",NA
"vst_mappingandtagging","publicationDate","Date of data publication on the NEON data portal","dateTime",NA,"appended by stackByTable",NA,"N",""
"vst_mappingandtagging","release","Identifier for data release","string",NA,"appended by stackByTable",NA,"N",""
"vst_non-woody","uid","Unique ID within NEON database; an identifier for the record","string",NA,"basic","asIs","N",NA
"vst_non-woody","namedLocation","Name of the measurement location in the NEON database","string",NA,"basic","asIs","N",NA
"vst_non-woody","date","Date or date and time of measurement, observation, or collection event","dateTime",NA,"basic","yyyy-MM-dd(floor)","N",NA
"vst_non-woody","eventID","An identifier for the set of information associated with the event, which includes information about the place and time of the event","string",NA,"basic","asIs","Y",NA
"vst_non-woody","domainID","Unique identifier of the NEON domain","string",NA,"basic","asIs","N",NA
"vst_non-woody","siteID","NEON site code","string",NA,"basic","asIs","N",NA
"vst_non-woody","plotID","Plot identifier (NEON site code_XXX)","string",NA,"basic","asIs","N",NA
"vst_non-woody","subplotID","Identifier for the NEON subplot","string",NA,"basic","asIs","N",NA
"vst_non-woody","tagID","Domain-level unique identifier of tag used to mark the individual","string",NA,"basic","asIs","N",NA
"vst_non-woody","individualID","Domain-level unique identifier for an individual: NEON.MOD.D##.######","string",NA,"basic","asIs","Y",NA
"vst_non-woody","tagStatus","Description of state or condition of the physical tag","string",NA,"basic","LOV","N","vst.tagStatus"
"vst_non-woody","identificationHistoryID","Identifier for linking records related to this identification history","string",NA,"basic","asIs","N",NA
"vst_non-woody","taxonID","Species code, based on one or more sources","string",NA,"basic","asIs","N",NA
"vst_non-woody","scientificName","Scientific name, associated with the taxonID. This is the name of the lowest level taxonomic rank that can be determined","string",NA,"basic","asIs","N",NA
"vst_non-woody","taxonRank","The lowest level taxonomic rank that can be determined for the individual or specimen","string",NA,"basic","asIs","N",NA
"vst_non-woody","identificationReferences","A list of sources (concatenated and semicolon separated) used to derive the specific taxon concept; including field guide editions, books, or versions of NEON keys used","string",NA,"basic","asIs","N",NA
"vst_non-woody","identificationQualifier","A standard term to express the determiner's doubts about the Identification","string",NA,"basic","LOV","N","Identification Qualifiers"
"vst_non-woody","morphospeciesID","Identifier for morphospecies","string",NA,"basic","asIs","N",NA
"vst_non-woody","growthForm","The growth form classification","string",NA,"basic","asIs","N",NA
"vst_non-woody","shape","Description of three dimensional form","string",NA,"basic","asIs","N",NA
"vst_non-woody","plantStatus","Physical status of the plant or plants","string",NA,"basic","LOV","N","vst.plantStatus"
"vst_non-woody","leafNumber","The total number of leaves on an individual plant","unsigned integer","number","basic","integer","N",NA
"vst_non-woody","meanLeafLength","The average length of a typical leaf on the individual plant being measured","real","centimeter","basic","*.#(round)","N",NA
"vst_non-woody","meanPetioleLength","The average length of a typical leaf or frond petiole, measured from the interstection with the stem to the base of the blade, lamina or first leaftet","real","centimeter","basic","*.#(round)","N",NA
"vst_non-woody","meanBladeLength","The average length of a typical leaf blade, measured from the top of the petiole to leaf tip","real","centimeter","basic","*.#(round)","N",NA
"vst_non-woody","basalStemDiameter","Cross-sectional stem diameter at base of stem","real","centimeter","basic","*.#(round)","N",NA
"vst_non-woody","meanBasalDiameter","Average basal diameter of a group of stems","real","centimeter","basic","*.#(round)","N",NA
"vst_non-woody","stemDiameter","Cross-sectional stem diameter","real","centimeter","basic","*.#(round)","N",NA
"vst_non-woody","stemLength","The length of the stem to the base of the leaves","real","meter","basic","*.##(round)","N",NA
"vst_non-woody","measurementHeight","Height at which stemDiameter is measured","real","centimeter","basic","integer","N",NA
"vst_non-woody","maxCrownDiameter","Maximum crown diameter of the individual or patch","real","meter","basic","*.#(round)","N",NA
"vst_non-woody","ninetyCrownDiameter","Crown diameter perpendicular to maxDiameter","real","meter","basic","*.#(round)","N",NA
"vst_non-woody","height","Highest point of an individual or average height of a patch","real","meter","basic","*.##(round)","N",NA
"vst_non-woody","baseCrownHeight","Height above the ground for the lowest portion of the crown","real","meter","basic","*.#(round)","N",NA
"vst_non-woody","maxBaseCrownDiameter","Maximum crown diameter, measured at ground level","real","meter","basic","*.#(round)","N",NA
"vst_non-woody","ninetyBaseCrownDiameter","Crown diameter perpendicular to maxBaseCrownDiameter, measured at ground level","real","meter","basic","*.#(round)","N",NA
"vst_non-woody","canopyPosition","Vertical status of an individual relative to its neighbors","string",NA,"basic","LOV","N","vst.canopyPosition"
"vst_non-woody","oldPadCount","The number of cladodes produced in previous growing seasons","unsigned integer","number","basic","integer","N",NA
"vst_non-woody","newPadCount","The number of cladodes produced in the current growing season","unsigned integer","number","basic","integer","N",NA
"vst_non-woody","stemCount","Count of stems","real","number","basic","integer","N",NA
"vst_non-woody","branchCount","Count of branches","real","number","basic","integer","N",NA
"vst_non-woody","meanBranchLength","Average length of branches on an individual","real","meter","basic","*.#(round)","N",NA
"vst_non-woody","remarks","Technician notes; free text comments accompanying the record","string",NA,"basic","asIs","N",NA
"vst_non-woody","measuredBy","An identifier for the technician who measured or collected the data","string",NA,"basic","asIs","N",NA
"vst_non-woody","recordedBy","An identifier for the technician who recorded the data","string",NA,"basic","asIs","N",NA
"vst_non-woody","dataEntryRecordID","Primary identifier for the record at the point of entry","string",NA,"basic","asIs","N",NA
"vst_non-woody","publicationDate","Date of data publication on the NEON data portal","dateTime",NA,"appended by stackByTable",NA,"N",""
"vst_non-woody","release","Identifier for data release","string",NA,"appended by stackByTable",NA,"N",""
"vst_perplotperyear","uid","Unique ID within NEON database; an identifier for the record","string",NA,"basic","asIs","N",NA
"vst_perplotperyear","namedLocation","Name of the measurement location in the NEON database","string",NA,"basic","asIs","N",NA
"vst_perplotperyear","date","Date or date and time of measurement, observation, or collection event","dateTime",NA,"basic","yyyy-MM-dd(floor)","N",NA
"vst_perplotperyear","nonwoodyCollectDate","The date non-woody growth forms are measured","dateTime",NA,"basic","yyyy-MM-dd(floor)","N",NA
"vst_perplotperyear","domainID","Unique identifier of the NEON domain","string",NA,"basic","asIs","N",NA
"vst_perplotperyear","siteID","NEON site code","string",NA,"basic","asIs","N",NA
"vst_perplotperyear","plotID","Plot identifier (NEON site code_XXX)","string",NA,"basic","asIs","Y",NA
"vst_perplotperyear","plotType","NEON plot type in which sampling occurred: tower, distributed or gradient","string",NA,"basic","asIs","N",NA
"vst_perplotperyear","nlcdClass","National Land Cover Database Vegetation Type Name","string",NA,"basic","asIs","N",NA
"vst_perplotperyear","decimalLatitude","The geographic latitude (in decimal degrees, WGS84) of the geographic center of the reference area","real","decimalDegree","basic","*.######(round)","N",NA
"vst_perplotperyear","decimalLongitude","The geographic longitude (in decimal degrees, WGS84) of the geographic center of the reference area","real","decimalDegree","basic","*.######(round)","N",NA
"vst_perplotperyear","geodeticDatum","Model used to measure horizontal position on the earth","string",NA,"basic","asIs","N",NA
"vst_perplotperyear","coordinateUncertainty","The horizontal distance (in meters) from the given decimalLatitude and decimalLongitude describing the smallest circle containing the whole of the Location. Zero is not a valid value for this term","real","meter","basic","*.#(round)","N",NA
"vst_perplotperyear","easting","Geographic coordinate specifying the east-west position of a point on the Earth's surface (Universal Transverse Mercator, UTM)","real","meter","basic","*.##(round)","N",NA
"vst_perplotperyear","northing","Geographic coordinate specifying the north-south position of a point on the Earth's surface (Universal Transverse Mercator, UTM)","real","meter","basic","*.##(round)","N",NA
"vst_perplotperyear","utmZone","UTM zone","string",NA,"basic","asIs","N",NA
"vst_perplotperyear","elevation","Elevation (in meters) above sea level","real","meter","basic","*.#(round)","N",NA
"vst_perplotperyear","elevationUncertainty","Uncertainty in elevation values (in meters)","real","meter","basic","*.#(round)","N",NA
"vst_perplotperyear","samplingImpractical","Samples and/or measurements were not collected due to the indicated circumstance","string",NA,"basic","LOV","N","samplingImpractical"
"vst_perplotperyear","eventID","An identifier for the set of information associated with the event, which includes information about the place and time of the event","string",NA,"basic","asIs","Y",NA
"vst_perplotperyear","eventType","Classification of information associated with the event type","string",NA,"basic","LOV","N","vst.eventType"
"vst_perplotperyear","dataCollected","Specific measurements made in a given event","string",NA,"basic","LOV","N","vst.dataCollected"
"vst_perplotperyear","subplotsSampled","List of subplots sampled","string",NA,"basic","asIs","N",NA
"vst_perplotperyear","samplingProtocolVersion","The NEON document number and version where detailed information regarding the sampling method used is available; format NEON.DOC.######vX","string",NA,"basic","LOV","N","vst.samplingProtocolVersion"
"vst_perplotperyear","targetTaxaPresent","Indicator of whether the sample contained individuals of the target taxa","string",NA,"basic","LOV","N","Yes or No choice"
"vst_perplotperyear","woodyTargetTaxaPresent","Indicator of whether the plot contains qualifying woody vegetation","string",NA,"basic","LOV","N","Yes or No choice"
"vst_perplotperyear","nonWoodyTargetTaxaPresent","Indicator of whether the plot contains qualifying non-woody vegetation","string",NA,"basic","LOV","N","Yes or No choice"
"vst_perplotperyear","treesPresent","Indicator of whether the plot contains single- and/or multi-bole trees","string",NA,"basic","LOV","N","Yes, No, or Unknown choice"
"vst_perplotperyear","shrubsPresent","Indicator of whether the plot contains shrubs, saplings, or small trees","string",NA,"basic","LOV","N","Yes, No, or Unknown choice"
"vst_perplotperyear","lianasPresent","Indicator of whether the plot contains lianas","string",NA,"basic","LOV","N","Yes, No, or Unknown choice"
"vst_perplotperyear","cactiPresent","Indicator of whether the plot contains cacti","string",NA,"basic","LOV","N","Yes, No, or Unknown choice"
"vst_perplotperyear","fernsPresent","Indicator of whether the plot contains ferns","string",NA,"basic","LOV","N","Yes, No, or Unknown choice"
"vst_perplotperyear","yuccasPresent","Indicator of whether the plot contains yucca or yucca-like growth forms","string",NA,"basic","LOV","N","Yes, No, or Unknown choice"
"vst_perplotperyear","palmsPresent","Indicator of whether the plot contains palms of any size","string",NA,"basic","LOV","N","Yes, No, or Unknown choice"
"vst_perplotperyear","ocotillosPresent","Indicator of whether the plot contains ocotillo","string",NA,"basic","LOV","N","Yes, No, or Unknown choice"
"vst_perplotperyear","xerophyllumPresent","Indicator of whether the plot contains xerophyllum","string",NA,"basic","LOV","N","Yes, No, or Unknown choice"
"vst_perplotperyear","treeFernsPresent","Indicator of whether the plot contains tree ferns","string",NA,"basic","LOV","N","Yes, No, or Unknown choice"
"vst_perplotperyear","nestedSubplotAreaShrubSapling","Size of nested plot in which shrubs, saplings and small trees were measured","string",NA,"basic","LOV","N","vst.nestedSubplotArea"
"vst_perplotperyear","nestedSubplotAreaLiana","Size of nested plot in which lianas were measured","string",NA,"basic","LOV","N","vst.nestedSubplotArea"
"vst_perplotperyear","nestedSubplotAreaFerns","Size of nested plot in which ferns were measured","string",NA,"basic","LOV","N","vst.nestedSubplotArea"
"vst_perplotperyear","nestedSubplotAreaOther","Size of nested plot in which other qualifying growthForms were measured","string",NA,"basic","LOV","N","vst.nestedSubplotArea"
"vst_perplotperyear","totalSampledAreaTrees","Total plot area sampled for single and multi-bole trees","real","squareMeter","basic","integer","N",NA
"vst_perplotperyear","totalSampledAreaShrubSapling","Total plot area sampled for saplings, shrubs, and small trees","real","squareMeter","basic","integer","N",NA
"vst_perplotperyear","totalSampledAreaLiana","Total plot area sampled for liana","real","squareMeter","basic","integer","N",NA
"vst_perplotperyear","totalSampledAreaFerns","Total plot area sampled for ferns","real","squareMeter","basic","integer","N",NA
"vst_perplotperyear","totalSampledAreaOther","Total plot area sampled for qualifying non-woody growth forms","real","squareMeter","basic","integer","N",NA
"vst_perplotperyear","remarks","Technician notes; free text comments accompanying the record","string",NA,"basic","asIs","N",NA
"vst_perplotperyear","measuredBy","An identifier for the technician who measured or collected the data","string",NA,"basic","asIs","N",NA
"vst_perplotperyear","recordedBy","An identifier for the technician who recorded the data","string",NA,"basic","asIs","N",NA
"vst_perplotperyear","dataQF","Data quality flag","string",NA,"basic","asIs","N",NA
"vst_perplotperyear","publicationDate","Date of data publication on the NEON data portal","dateTime",NA,"appended by stackByTable",NA,"N",""
"vst_perplotperyear","release","Identifier for data release","string",NA,"appended by stackByTable",NA,"N",""
"vst_shrubgroup","uid","Unique ID within NEON database; an identifier for the record","string",NA,"basic","asIs","N",NA
"vst_shrubgroup","namedLocation","Name of the measurement location in the NEON database","string",NA,"basic","asIs","N",NA
"vst_shrubgroup","date","Date or date and time of measurement, observation, or collection event","dateTime",NA,"basic","yyyy-MM-dd(floor)","N",NA
"vst_shrubgroup","eventID","An identifier for the set of information associated with the event, which includes information about the place and time of the event","string",NA,"basic","asIs","Y",NA
"vst_shrubgroup","domainID","Unique identifier of the NEON domain","string",NA,"basic","asIs","N",NA
"vst_shrubgroup","siteID","NEON site code","string",NA,"basic","asIs","N",NA
"vst_shrubgroup","plotID","Plot identifier (NEON site code_XXX)","string",NA,"basic","asIs","Y",NA
"vst_shrubgroup","subplotID","Identifier for the NEON subplot","string",NA,"basic","LOV","N","vst.subplot"
"vst_shrubgroup","groupID","Identifier for a group of individuals being measured","string",NA,"basic","asIs","Y",NA
"vst_shrubgroup","taxonID","Species code, based on one or more sources","string",NA,"basic","asIs","Y",NA
"vst_shrubgroup","scientificName","Scientific name, associated with the taxonID. This is the name of the lowest level taxonomic rank that can be determined","string",NA,"basic","asIs","N",NA
"vst_shrubgroup","taxonRank","The lowest level taxonomic rank that can be determined for the individual or specimen","string",NA,"basic","asIs","N",NA
"vst_shrubgroup","identificationReferences","A list of sources (concatenated and semicolon separated) used to derive the specific taxon concept; including field guide editions, books, or versions of NEON keys used","string",NA,"basic","asIs","N",NA
"vst_shrubgroup","identificationQualifier","A standard term to express the determiner's doubts about the Identification","string",NA,"basic","LOV","N","Identification Qualifiers"
"vst_shrubgroup","volumePercent","Percent of the total volume of a group attributed to a particular species","real","percent","basic","integer","N",NA
"vst_shrubgroup","livePercent","Percent of a given species, within a group, that is alive","real","percent","basic","integer","N",NA
"vst_shrubgroup","deadPercent","Percent of a given species, within a group, that is dead","real","percent","basic","integer","N",NA
"vst_shrubgroup","canopyArea","Area of the group canopy","real","squareMeter","basic","*.#(round)","N",NA
"vst_shrubgroup","meanHeight","The mean of multiple height measurements","real","meter","basic","*.##(round)","N",NA
"vst_shrubgroup","remarks","Technician notes; free text comments accompanying the record","string",NA,"basic","asIs","N",NA
"vst_shrubgroup","measuredBy","An identifier for the technician who measured or collected the data","string",NA,"basic","asIs","N",NA
"vst_shrubgroup","recordedBy","An identifier for the technician who recorded the data","string",NA,"basic","asIs","N",NA
"vst_shrubgroup","dataQF","Data quality flag","string",NA,"basic","asIs","N",NA
